bID,name,address,cord,numOfReview,rating,zipcode,cuisine
SxKvgnkMMZdhBJcxxKQnww,Nobu Fifty Seven,"40 W 57th St, New York, NY 10019","40.7636210840864, -73.9765048613641",1223,4.0,10019,chinese
l44CFBTejwL0ElKmkH7xQQ,Decoy,"529 Hudson St, New York, NY 10014","40.734196, -74.006519",425,4.0,10014,chinese
qH8PVeddtVs9cKN2pwgdkQ,Hwa Yuan,"42 E Broadway, New York, NY 10002","40.7137, -73.99598",311,4.0,10002,chinese
B3_K2kUVbYOU0VaLcj_LTw,Thai Villa,"5 E 19th St, G Floor, New York, NY 10003","40.73902, -73.99065",3578,4.5,10003,chinese
s5JNxy0eAFgxS2Poi73ODw,Mala Project,"41 W 46th St, New York, NY 10036","40.756899, -73.980586",352,4.0,10036,chinese
BbODF2tZuw4xW_RFwMzwRg,Jiangnan Chinese Cuisine,"103 Washington St, Fl 2, New York, NY 10006","40.7084231394503, -74.0140241895666",53,3.5,10006,chinese
NN3mOWF5e_pnR1ArqM2bHQ,OBAO,"647 9th Ave, New York, NY 10036","40.7606544, -73.991332",2643,4.0,10036,chinese
A-ert0jDRBfku9ogyW_mEg,Spice Symphony,"150 E 50th St, New York, NY 10022","40.7558937072754, -73.9715347290039",510,4.5,10022,chinese
M-odQWSEfsR2mVEw7nKG-g,Nyonya,"199 Grand St, New York, NY 10013","40.7190148, -73.9968228",2095,4.0,10013,chinese
7iY35991NhQ1AShJZCNZgA,Sakagura,"211 E 43rd St, New York, NY 10017","40.7516467024541, -73.9729489318165",1776,4.0,10017,chinese
gJXNSJ9VXTuCFmp_Kl9TVQ,Shanghai,"1388 2nd Ave, New York, NY 10021","40.768291, -73.958381",108,4.0,10021,chinese
W5RSIwNKBa7k0jeAs5KDYg,Mei Jin Ramen,"1574 2nd Ave, New York, NY 10028","40.775049, -73.953553",727,4.0,10028,chinese
s25mujxKWphsyFm0Ji1xYA,Mr Chow,"324 E 57th St, New York, NY 10022","40.7588502019644, -73.9643376320601",367,3.0,10022,chinese
UaQF4mv6hVjiegkwUvQeMQ,Dim Sum Chelsea,"236 8th Ave, New York, NY 10011","40.744624, -73.998649",70,4.5,10011,chinese
0vg2Z-HPwkyVVX613j2ysg,Peng's Noodle Folk,"1659 1st Ave, New York, NY 10028","40.77726, -73.94932",460,4.5,10028,chinese
1dFOF1HPaThSCsdiqR7DrA,Land of Plenty,"204E 58th St, New York, NY 10022","40.76063, -73.96664",326,3.5,10022,chinese
R26zweQ8-xoZS7iHkXQOvw,Shanghai 21,"21 Mott St, New York, NY 10013","40.71441, -73.99902",1699,4.0,10013,chinese
wjIyCBEpCG_HRp8veiI0YQ,Ootoya Times Square,"141 W 41st St, New York, NY 10036","40.75487, -73.98599",947,4.0,10036,chinese
TzhAlljC_843JO7UDDUIaQ,The Tang - Upper West Side,"920 Amsterdam Ave, New York, NY 10025","40.80006, -73.96639",217,4.5,10025,chinese
-lgNzAEyFr8LCTuBTWnAMg,Dim Sum Palace,"28 W 56th St, New York, NY 10019","40.7628979550614, -73.9759572967887",315,4.0,10019,chinese
BPErPpKSNluwcjbKRgze3w,Xi'an Famous Foods,"328 E 78th St, New York, NY 10075","40.77197, -73.95452",543,4.0,10075,chinese
dDXtga5Kgo5B1twdezcZJA,Auntie Guan's Kitchen 108,"108 W 14th St, New York, NY 10011","40.7377213477598, -73.9974148512518",345,3.5,10011,chinese
Kqb7MjTPNkjPMoFRd-rWpw,MáLà Project,"122 1st Ave, New York, NY 10009","40.72713, -73.98542",685,4.0,10009,chinese
JaKLZrh1Y_2qB_0Gc3bk3A,Ollie's Sichuan,"411 W 42nd St, New York, NY 10036","40.75884, -73.99319",507,3.5,10036,chinese
HvN9eVtlm9MnOQCL_GlRSg,Pho Saigon,"987 1st Ave, New York, NY 10022","40.7565899362516, -73.9644254744053",180,3.5,10022,chinese
scTDvJ2M2jDbb1ntVeIyxA,Hao Noodle - West Village,"401 6th Ave, New York, NY 10014","40.7334863190479, -73.9998929006093",762,4.0,10014,chinese
VW2Epq3C8jqysu6Edpu-RA,Atlas Kitchen,"258 W 109th St, New York, NY 10025","40.80332, -73.9668",115,4.0,10025,chinese
fWX7sIzv_WTgZXdSwxYBPg,Yong Kang Street,"888 6th Ave, 888 Avenue of the Americas, New York, NY 10001","40.748187, -73.988737",124,4.0,10001,chinese
a93NwZxjkPQydJxR42oPyg,Grain House,"929 Amsterdam Ave, New York, NY 10025","40.800127673827, -73.9657538384199",86,4.0,10025,chinese
R3UNnA8EbjhNWBHS0wJ0VA,Grand Sichuan Eastern,"1049 2nd Ave, New York, NY 10022","40.75831, -73.96636",255,3.5,10022,chinese
jwKPVep2qZYBUA6SLLQPvg,Legend 72,"127 W 72nd St, New York, NY 10023","40.77796, -73.9796901",244,3.5,10023,chinese
WVsPyl-DGRu0O_rQYdIMVQ,The Best Sichuan,"47 W 39th St, New York, NY 10018","40.75266, -73.98459",50,4.0,10018,chinese
BtsXojrMtfLRhhFK7rm35A,Hupo琥珀,"1007 50th Ave, Long Island City, NY 11101","40.742827, -73.953575",110,4.5,11101,chinese
zYoL-o9YJpGTwJ-Gmj8AFA,Jue Lan Club,"49 W 20th St, New York, NY 10011","40.7409694, -73.9934031",513,3.5,10011,chinese
I4FWrwXDC91lsfQLXYSeXA,Malii,"2028 2nd Ave, New York, NY 10029","40.789432, -73.942962",285,4.5,10029,chinese
X8ZS-dgiMIJvhwf9SaDnjw,Wah Fung No 1,"79 Chrystie St, New York, NY 10002","40.71735, -73.99457",1526,4.5,10002,chinese
8Oo2AtQEPDfxIOnA8wfXoQ,886,"26 Saint Marks Pl, New York, NY 10003","40.72877, -73.98873",383,4.0,10003,chinese
-OixbLnFLCzQclxCSbUQ8w,Up Thai,"1411 2nd Ave, New York, NY 10021","40.7698275926665, -73.9576330868512",2388,4.5,10021,chinese
-oj8yGjD32mIKQEOou-cKQ,New York Kimchi,"16 W 48th St, New York, NY 10036","40.7577797722264, -73.9792332050324",286,3.5,10036,chinese
7ZQSMqWzvXMSetXnii2fBg,Excellent Dumpling House,"165 W 23rd St, New York, NY 10011","40.7440494396358, -73.995028194335",649,4.0,10011,chinese
HZWHBfeuP4Fb6y8b8uqnbA,Sushi Yasaka,"251 W 72nd St, New York, NY 10023","40.779583, -73.983482",1782,4.0,10023,chinese
wurhcLKXD4YJ5XfTxpbE5Q,Grand Sichuan,"229 9th Ave, New York, NY 10001","40.747413, -74.001052",458,3.5,10001,chinese
mQQxpyEegblKERyeuxrb5Q,Vanessa's Dumpling House,"452 Amsterdam Ave, New York, NY 10024","40.785005, -73.977188",14,4.0,10024,chinese
qrncvjkiKN5Z-JC06ygy6A,Hutong,"731 Lexington Ave, New York, NY 10022","40.761551, -73.967443",299,3.5,10022,chinese
w3wKbjuNCZnYoPOr-FCk5w,New Moon,"547 2nd Ave, New York, NY 10016","40.742569, -73.977856",156,4.0,10016,chinese
uaFHoq-a5XqxF-bsOK9_Qg,Real Kung Fu Little Steamed Buns Ramen,"811 8th Ave, New York, NY 10019","40.7616286634162, -73.9868181646996",1020,3.5,10019,chinese
X4hEgOBOLTYFhlWO-gAFxQ,Tipsy Shanghai,"228 Thompson St, New York, NY 10012","40.72929, -73.99882",216,4.0,10012,chinese
SNhDVaf_n7VDZcfry8mYdA,The Bao,"13 St Marks Pl, New York, NY 10003","40.72939, -73.9889199",1235,4.0,10003,chinese
xZ96vaoL-cQjfotmUKtjJQ,Barn Joo 35,"34 W 35th St, New York, NY 10001","40.74964, -73.98582",2028,4.5,10001,chinese
m2Zsy2UAkcDf0cRzk2Yoqw,Madame Vo,"212 E 10th St, New York, NY 10003","40.72925, -73.98612",826,4.0,10003,chinese
6lUsFj0KCao678o9L7QwUw,Hatsuhana Sushi Restaurant,"17 E 48th St, New York, NY 10017","40.75703, -73.97692",1358,4.0,10017,chinese
TU_BU9HLflYI2xlyqVQdRA,TAO Uptown,"42 E 58th St, New York, NY 10022","40.762639, -73.971447",2608,3.5,10022,chinese
vA2VEhW6S1ioX6tXtQdO9A,Lemongrass Grill,"156 Court St, Brooklyn, NY 11201","40.688684, -73.993137",476,4.0,11201,chinese
TN4RnyqHMSupRFot4Q-_EA,Ippudo Westside,"321 W 51st St, New York, NY 10019","40.76344, -73.98661",3711,4.0,10019,chinese
kxv4jD_qXRPVrV0oPR7isQ,Yu Kitchen,"2656 Broadway, New York, NY 10025","40.79759, -73.9693099",111,4.5,10025,chinese
